cod_ibge7,nome_municipio,uf,meses_dado,total_cat,total_obito,total_cid_mental,corr_n_cat_lag0,corr_n_cat_lag1,corr_n_cat_lag2,corr_n_cat_lag3,corr_n_cat_lag6,corr_n_obito_lag0,corr_n_obito_lag1,corr_n_obito_lag2,corr_n_obito_lag3,corr_n_obito_lag6,corr_n_cid_mental_lag0,corr_n_cid_mental_lag1,corr_n_cid_mental_lag2,corr_n_cid_mental_lag3,corr_n_cid_mental_lag6
1100023,ARIQUEMES,RO,24,256,1,0,-0.08047742228289748,-0.24838656580356194,-0.056633215933766634,0.24019850725720931,0.22087406740405743,0.16420494071363728,0.15612777838736241,0.13151272746117285,-0.1995065938018895,-0.18610323617140284,,,,,
1100049,CACOAL,RO,24,549,2,4,-0.27121469349070265,-0.38118038948869704,-0.04390366895583326,0.14056238295237425,0.6418076290747001,-0.1717736338084837,-0.18066417986025618,-0.1696932866035796,-0.179247713966054,-0.15733881028688976,0.04825383367487443,-0.2262404526381345,0.03094135162027918,-0.22495409568451666,0.6658511719679435
1100064,COLORADO DO OESTE,RO,24,27,0,0,-0.026952595591194454,-0.220702850800625,0.09803797874181688,-0.3990671990335369,0.14083575804390605,,,,,,,,,,
1100098,ESPIGAO D'OESTE,RO,24,167,0,0,0.2349519988693264,-0.04973945321468868,0.11725117174643802,0.05592710664274705,0.4021611806502305,,,,,,,,,,
1100114,JARU,RO,24,119,2,0,-0.09398460990347433,-0.07031948106941553,-0.05163486732221591,0.02691746970091405,0.4084750478460431,-0.06079055436800646,0.12843110848653355,0.39145093031665046,0.0,0.1293659042796155,,,,,
1100122,JI-PARANA,RO,24,821,7,3,-0.10799649017110323,-0.21329181184209822,-0.13297157494872527,0.014861613903151409,0.3356553296715097,-0.10924661121816494,0.357437513165116,0.0025269612059900894,0.25975852208525974,-0.09166984970282112,-0.22513928939313688,-0.23753969409062176,-0.2310284308807498,-0.2449489742783178,
1100130,MACHADINHO D'OESTE,RO,24,26,1,0,0.028961615168957695,0.13227350515572056,-0.14250414610539403,0.024691505152969515,0.3369037453061474,-0.10608524687182662,-0.11134924551362411,-0.11716084956187751,-0.12360984849491553,,,,,,
1100148,NOVA BRASILANDIA D'OESTE,RO,24,26,0,0,-0.09227163807459926,-0.10857900462514364,-0.15526495465765805,0.2113323562100148,0.12312646811873461,,,,,,,,,,
1100155,OURO PRETO DO OESTE,RO,24,78,2,2,-0.3566577345227714,-0.3116805425045813,-0.05120116741239588,-0.2651380110195597,0.2140990363940341,0.10942299786241162,0.2568622169730671,-0.0559215614738072,-0.2671939301768366,-0.27128975439762093,-0.16816225395433357,0.35490615515996227,0.2122424897874634,-0.18415070799100533,-0.18610323617140284
1100189,PIMENTA BUENO,RO,24,360,2,0,-0.16661556545317402,-0.21873072711946417,-0.3543936823719954,-0.019927578941999615,-0.21663082997148375,0.24543842165603552,-0.16117733459999695,-0.14823135407896973,0.19549412144051453,-0.15753150945315111,,,,,
1100205,PORTO VELHO,RO,24,1994,8,14,-0.284241092286361,-0.49780075874208574,-0.12308916303591672,0.0325813282829556,0.6090901973430757,0.18139051478608773,-0.04526216786177309,-0.3239748564570617,0.13320174382664401,0.2945709802612615,-0.10105691557184926,-0.1158427324414411,-0.0734135605372793,-0.1725274040978634,0.3324543467423849
1100254,PRESIDENTE MEDICI,RO,24,53,1,0,-0.0058580488744645,0.023507825887475787,-0.31504072090046137,-0.057531721574856094,0.3166057043180908,-0.11883712457469715,-0.1248634111010882,-0.11716084956187751,,,,,,,
1100288,ROLIM DE MOURA,RO,24,423,5,0,-0.17808832936840288,-0.3464208778518346,-0.1417746282985304,0.00037339956203393616,0.6854224897406395,-0.0848700251647707,-0.35244063566756717,-0.08736927124306376,0.12394233388015402,-0.21560984046602585,,,,,
1100304,VILHENA,RO,24,745,5,4,0.03813416015801214,-0.22270964655827347,-0.12741388671135664,0.03344949327077478,0.4793210349783816,0.19180986680019543,0.14731788433293222,0.14161105328963983,-0.1260631283146811,0.1272727272727273,0.5029393537633111,0.17906529329126272,0.325131083564299,0.009771222400810992,0.17108469379751842
1100320,SAO MIGUEL DO GUAPORE,RO,24,81,3,0,-0.1914388033675865,-0.42067049778447274,0.1692619365461523,0.33852015005347885,0.414861764896592,-0.1424807070437933,-0.14956709866438492,0.2623224707405642,0.2583495748430034,-0.12478354962115545,,,,,
1100452,BURITIS,RO,24,35,0,0,-0.20675541306302808,-0.1629053893055084,0.007329088577225987,-0.2764258994778338,-0.11787809253648358,,,,,,,,,,
1100809,CANDEIAS DO JAMARI,RO,24,40,0,0,-0.4863246309081123,-0.4184093451290878,0.01938277075858332,-0.17726899107443328,0.3266066666301137,,,,,,,,,,
1100924,CHUPINGUAIA,RO,24,81,0,0,0.02165292314059829,-0.06585343409002767,0.18444847639641804,0.2031565214175222,0.006950060791578855,,,,,,,,,,
1101104,ITAPUA DO OESTE,RO,24,21,1,0,0.3905573418564984,0.44867076782133286,0.1909900580547736,-0.1301079276509805,0.19421198560948325,0.3871931333870691,0.21320071635561041,0.17390031518436025,0.08197560612767679,,,,,,
1101708,URUPA,RO,24,21,0,0,-0.35606486917659036,-0.4310782895910051,-0.049499388341243046,0.04459336028054224,0.3392489372986924,,,,,,,,,,
1200104,BRASILEIA,AC,24,64,1,0,0.23642358054570953,-0.07712524851847316,-0.024410612111255822,-0.1835157430350965,-0.16623292171469548,-0.14361283900820412,-0.1512186664008184,-0.14564381625088382,0.3521153786082036,-0.12837345383073615,,,,,
1200203,CRUZEIRO DO SUL,AC,24,141,6,5,-0.22262449540878498,-0.21717041799950085,0.028628804264038802,-0.10810791775561472,0.11699447141668005,-0.304819971239475,0.08596253970731511,0.10540334061485307,-0.33621165582406826,-0.18610323617140284,-0.16816225395433357,-0.17745307757998113,-0.17365294618974278,-0.18415070799100533,-0.18610323617140284
1200252,EPITACIOLANDIA,AC,24,25,0,0,0.0854713955645304,0.15562892501789075,-0.06306816687924117,-0.4358626916075164,0.18804081262335434,,,,,,,,,,
1200401,RIO BRANCO,AC,24,1129,7,6,-0.19343384936294045,-0.3546490639002034,-0.0959136753856654,0.042798008385063924,0.47041633464166777,-0.14456082739572798,-0.06699969945027315,-0.4034346459725531,-0.0020472641496261396,-0.0061109669993029015,-0.4423258684646914,0.22780085207476597,-0.4642838300207472,-0.325703680821287,0.1873993730564461
1200450,SENADOR GUIOMARD,AC,24,28,0,1,-0.11388643420538565,-0.26459078782932427,0.07893394666110057,0.2541929476060724,0.3816083415045591,,,,,,0.44065067409966735,-0.09726832530780989,-0.10222556095668148,-0.10771355506504919,0.35302699803452436
1301852,IRANDUBA,AM,24,138,0,0,-0.2941311269641503,-0.37784407202726195,-0.35480303681708336,-0.08220178879832268,0.2209639937946812,,,,,,,,,,
1301902,ITACOATIARA,AM,24,73,5,0,0.05199007890647646,-0.1430073423838704,-0.0697563952066641,0.07016701164690974,0.09504379193029758,0.09865723536929825,-0.20861731638973613,0.3050009531294678,0.09972337429718006,0.13808022255168254,,,,,
1302504,MANACAPURU,AM,24,39,0,3,-0.3000892118435587,-0.33904993425166685,0.041080999984535606,-0.2151552294121285,0.00989331771525965,,,,,,0.09593435041380223,0.03223673378486251,0.22988885405523124,-0.2231374522142017,-0.27081998823669284
1302603,MANAUS,AM,24,11668,44,83,0.15159036380646285,0.02970921601909142,-0.09764605123604066,-0.04332242888591059,-0.20159121746278166,-0.11177263818375693,-0.10649522133867169,-0.165902032409735,-0.09232336462111752,0.17876377430513843,0.23983327077989444,0.22758053951693935,-0.041405175734446166,0.017992871609134164,-0.37879774537937916
1303403,PARINTINS,AM,24,50,0,0,-0.3843610662257028,-0.37084345844642186,-0.12080495616334357,0.08082014724434225,0.6786486740468083,,,,,,,,,,
