cod_ibge7,cod_ibge6,cod_siafi,uf,nome_municipio,cat_total,cat_obito,cat_cid_mental,cat_cid_lesao,cat_cid_musculo,cat_afastamento,cnae_dominante,cnae_dominante_nome,cat_cnae_dominante,concentracao_dominante,n_cnaes_ativos,bf_media,bf_pico,bf_vale,bf_ini,bf_fim,bf_variacao_periodo,bf_variacao_pct
1100106,110010,0001,RO,GUAJARA-MIRIM                                ,21.0,0.0,0.0,11.0,1.0,8.0,46,Comercio Atacadista ,5.0,0.23809523809523808,11,4965.75,5115,4772,4839,4884,45,0.009299442033477991
1100379,110037,0002,RO,ALTO ALEGRE DOS PARECIS                      ,3.0,0.0,0.0,2.0,0.0,1.0,82,Servicos Combinados ,1.0,0.3333333333333333,3,405.4166666666667,563,337,563,360,-203,-0.3605683836589698
1100205,110020,0003,RO,PORTO VELHO                                  ,1994.0,8.0,14.0,1290.0,136.0,1061.0,47,Comercio Varejista d,259.0,0.12988966900702106,60,46676.708333333336,49965,40108,42498,47137,4639,0.10915807802720127
1100940,110094,0008,RO,CUJUBIM                                      ,6.0,0.0,0.0,4.0,0.0,4.0,02,Producao Florestal -,3.0,0.5,4,1250.4583333333333,1337,1193,1325,1238,-87,-0.06566037735849056
1100304,110030,0013,RO,VILHENA                                      ,745.0,5.0,4.0,445.0,43.0,361.0,10,"Abate de Suinos, Ave",143.0,0.1919463087248322,49,4741.041666666667,5030,4273,4313,4304,-9,-0.0020867145838163693
1100114,110011,0015,RO,JARU                                         ,119.0,2.0,0.0,89.0,5.0,52.0,10,"Abate de Suinos, Ave",47.0,0.3949579831932773,18,3359.625,3585,2911,3158,3088,-70,-0.022165927802406588
1100155,110015,0017,RO,OURO PRETO DO OESTE                          ,78.0,2.0,2.0,49.0,4.0,45.0,47,Comercio Varejista d,16.0,0.20512820512820512,17,2325.7083333333335,2429,2109,2303,2236,-67,-0.029092488059053408
1101492,110149,0020,RO,SAO FRANCISCO DO GUAPORE                     ,3.0,0.0,0.0,3.0,0.0,1.0,47,Comercio Varejista d,1.0,0.3333333333333333,3,1347.0833333333333,1393,1255,1375,1257,-118,-0.08581818181818182
1101559,110155,0022,RO,TEIXEIROPOLIS                                ,2.0,0.0,0.0,2.0,0.0,1.0,47,Comercio Varejista d,2.0,1.0,1,362.375,376,332,356,355,-1,-0.0028089887640449437
1100064,110006,0023,RO,COLORADO DO OESTE                            ,27.0,0.0,0.0,19.0,1.0,19.0,47,Comercio Varejista d,6.0,0.2222222222222222,9,462.5416666666667,493,402,472,408,-64,-0.13559322033898305
