cod_ibge7,cod_ibge6,cod_siafi,uf,nome_municipio,ano_mes,n_cat,n_obito,n_cid_mental,n_cid_lesao,n_cid_musculo,bf_beneficiarios,bf_entradas,bf_valor_total
2308377,230837,1263,CE,MIRAIMA                                      ,202509,0,0,0,0,0,3531,8,2372408.0
2109205,210920,0881,MA,PRESIDENTE JUSCELINO                         ,202509,0,0,0,0,0,2751,17,2002383.0
3127305,312730,4545,MG,GALILEIA                                     ,202509,0,0,0,0,0,646,14,450938.0
3127503,312750,4549,MG,GONZAGA                                      ,202509,0,0,0,0,0,605,9,395860.0
5100508,510050,9009,MT,ALTO PARAGUAI                                ,202509,0,0,0,0,0,1018,2,682423.0
2513927,251392,0518,PB,SAO BENTINHO                                 ,202509,0,0,0,0,0,772,1,516750.0
2514305,251430,2187,PB,SAO JOSE DE CAIANA                           ,202509,0,0,0,0,0,1268,1,871968.0
2514602,251460,2193,PB,SAO JOSE DO BONFIM                           ,202509,0,0,0,0,0,693,1,467748.0
4321626,432162,6037,RS,TRAVESSEIRO                                  ,202509,0,0,0,0,0,11,1,6849.0
2709103,270910,2881,AL,TAQUARANA                                    ,202509,0,0,0,0,0,3788,24,2568737.0
1600709,160070,0617,AP,TARTARUGALZINHO                              ,202509,0,0,0,0,0,2615,13,2082399.0
2911857,291185,3097,BA,HELIOPOLIS                                   ,202509,0,0,0,0,0,2691,8,1779207.0
5220702,522070,9611,GO,SITIO D'ABADIA                               ,202509,0,0,0,0,0,584,1,398418.0
2111631,211163,0244,MA,SAO RAIMUNDO DO DOCA BEZERRA                 ,202509,0,0,0,0,0,1142,2,804241.0
2111722,211172,0248,MA,SATUBINHA                                    ,202509,0,0,0,0,0,1769,5,1236947.0
3140852,314085,2897,MG,MATIAS CARDOSO                               ,202509,0,0,0,0,0,1438,6,975406.0
3141405,314140,4827,MG,MEDINA                                       ,202509,0,0,0,0,0,2315,5,1543169.0
3142254,314225,0652,MG,MIRAVANIA                                    ,202509,0,0,0,0,0,564,8,378339.0
5108352,510835,1102,MT,VALE DE SAO DOMINGOS                         ,202509,0,0,0,0,0,220,1,148213.0
1505809,150580,0515,PA,PORTEL                                       ,202509,0,0,0,0,0,10315,57,8591140.0
1506005,150600,0519,PA,PRAINHA                                      ,202509,0,0,0,0,0,8864,91,6584869.0
4107157,410715,9915,PR,DIAMANTE D'OESTE                             ,202509,0,0,0,0,0,325,3,222519.0
4108205,410820,7561,PR,FORMOSA DO OESTE                             ,202509,0,0,0,0,0,211,2,133243.0
2408706,240870,1773,RN,PARAU                                        ,202509,0,0,0,0,0,607,3,399116.0
2410207,241020,1803,RN,PORTALEGRE                                   ,202509,0,0,0,0,0,1246,3,817799.0
1300029,130002,0289,AM,ALVARAES                                     ,202509,0,0,0,0,0,3360,21,2564263.0
1300409,130040,0209,AM,BARCELOS                                     ,202509,0,0,0,0,0,3332,40,2555933.0
2900900,290090,3317,BA,ALMADINA                                     ,202509,0,0,0,0,0,1313,10,849377.0
2914307,291430,3587,BA,IRAMAIA                                      ,202509,0,0,0,0,0,1882,8,1252161.0
